id,provinsi_kabupaten_kota,kode_wilayah
168,KAB. BREBES,33.29
169,KOTA SURAKARTA,33.72
170,KOTA SALATIGA,33.73
171,KOTA SEMARANG,33.74
172,KOTA PEKALONGAN,33.75
173,KOTA TEGAL,33.76
174,DAERAH ISTIMEWA YOGYAKARTA,34
175,KAB. KULON PROGO,34.01
176,KAB. GUNUNGKIDUL,34.03
177,KOTA YOGYAKARTA,34.71
178,JAWA TIMUR,35
179,KAB. KEDIRI,35.06
180,KAB. MALANG,35.07
181,KAB. BANYUWANGI,35.10
182,KAB. SITUBONDO,35.12
183,KAB. PROBOLINGGO,35.13
184,KAB. PASURUAN,35.14
185,KAB. SIDOARJO,35.15
186,KAB. MOJOKERTO,35.16
187,KAB. JOMBANG,35.17
188,KAB. NGANJUK,35.18
189,KAB. MADIUN,35.19
190,KAB. MAGETAN,35.20
191,KAB. NGAWI,35.21
192,KAB. TUBAN,35.23
193,KAB. LAMONGAN,35.24
194,KAB. GRESIK,35.25
195,KAB. BANGKALAN,35.26
196,KAB. SUMENEP,35.29
197,KOTA KEDIRI,35.71
198,KOTA BLITAR,35.72
199,KOTA MALANG,35.73
200,KOTA PROBOLINGGO,35.74
201,KOTA PASURUAN,35.75
202,KOTA MOJOKERTO,35.76
203,KOTA SURABAYA,35.78
204,KOTA BATU,35.79
205,BANTEN,36
206,KAB. PANDEGLANG,36.01
207,KAB. LEBAK,36.02
208,KAB. SERANG,36.04
209,KOTA TANGERANG,36.71
210,KOTA CILEGON,36.72
211,KOTA TANGERANG SELATAN,36.74
212,BALI,51
213,KAB. JEMBRANA,51.01
214,KAB. BADUNG,51.03
215,KAB. GIANYAR,51.04
216,KAB. KLUNGKUNG,51.05
217,KAB. BANGLI,51.06
218,KAB. KARANGASEM,51.07
219,KOTA DENPASAR,51.71
220,NUSA TENGGARA BARAT,52
221,KAB. LOMBOK TENGAH,52.02
222,KAB. SUMBAWA,52.04
223,KAB. SUMBAWA BARAT,52.07
224,KOTA MATARAM,52.71
225,NUSA TENGGARA TIMUR,53
226,KAB TIMOR TENGAH SELATAN,53.02
227,KAB. TIMOR TENGAH UTARA,53.03
228,KAB. BELU,53.04
229,KAB. FLORES TIMUR,53.06
230,KAB. SIKKA,53.07
231,KAB. ENDE,53.08
232,KAB. MANGGARAI,53.10
233,KAB. SUMBA TIMUR,53.11
234,KAB. SUMBA BARAT,53.12
235,KAB. MANGGARAI BARAT,53.15
236,KAB. NAGEKEO,53.16
237,KAB. SUMBA TENGAH,53.17
238,KAB. SUMBA BARAT DAYA,53.18
239,KAB. MANGGARAI TIMUR,53.19
240,KOTA KUPANG,53.71
241,KALIMANTAN BARAT,61
242,KAB. SAMBAS,61.01
243,KAB. MEMPAWAH,61.02
244,KAB. SANGGAU,61.03
245,KAB. KETAPANG,61.04
246,KAB. SINTANG,61.05
247,KAB. KAPUAS HULU,61.06
248,KAB. BENGKAYANG,61.07
249,KAB. LANDAK,61.08
250,KAB. MELAWI,61.10
251,KAB. KAYONG UTARA,61.11
252,KAB. KUBU RAYA,61.12
253,KOTA SINGKAWANG,61.72
254,KALIMANTAN TENGAH,62
255,KAB. KOTAWARINGIN BARAT,62.01
256,KAB. KAPUAS,62.03
257,KAB. BARITO SELATAN,62.04
258,KAB. BARITO UTARA,62.05
259,KAB. KATINGAN,62.06
260,KAB. SERUYAN,62.07
261,KAB. LAMANDAU,62.09
262,KAB. GUNUNG MAS,62.10
263,KAB. PULANG PISAU,62.11
264,KAB. BARITO TIMUR,62.13
265,KALIMANTAN SELATAN,63
266,KAB. TANAH LAUT,63.01
267,KAB. HULU SUNGAI SELATAN,63.06
268,KAB. HULU SUNGAI TENGAH,63.07
269,KAB. HULU SUNGAI UTARA,63.08
270,KAB. TABALONG,63.09
271,KAB. BALANGAN,63.11
272,KOTA BANJARMASIN,63.71
273,KALIMANTAN TIMUR,64
274,KAB. PASER,64.01
275,KAB. KUTAI KARTANEGARA,64.02
276,KAB. KUTAI BARAT,64.07
277,KAB. KUTAI TIMUR,64.08
278,KAB. PENAJAM PASER UTARA,64.09
279,KAB. MAHAKAM ULU,64.11
280,KOTA BALIKPAPAN,64.71
281,KOTA BONTANG,64.74
282,KALIMANTAN UTARA,65
283,KAB. BULUNGAN,65.01
284,KAB. NUNUKAN,65.03
285,KAB. TANA TIDUNG,65.04
286,KOTA TARAKAN,65.71
287,SULAWESI UTARA,71
288,KAB. MINAHASA,71.02
289,KAB. KEPULAUAN SANGIHE,71.03
290,KAB. KEPULAUAN TALAUD,71.04
291,KAB. MINAHASA SELATAN,71.05
292,KAB. MINAHASA UTARA,71.06
293,KAB. BOLAANG MONGONDOW UTARA,71.08
294,KAB. BOLAANG MONGONDOW TIMUR,71.10
295,KAB. BOLAANG MONGONDOW SELATAN,71.11
296,KOTA MANADO,71.71
297,KOTA BITUNG,71.72
298,KOTA TOMOHON,71.73
299,SULAWESI TENGAH,72
300,KAB. BANGGAI,72.01
301,KAB. POSO,72.02
302,KAB. DONGGALA,72.03
303,KAB. BUOL,72.05
304,KAB. MOROWALI,72.06
305,KAB. BANGGAI KEPULAUAN,72.07
306,KAB. PARIGI MOUTONG,72.08
307,KAB. BANGGAI LAUT,72.11
308,KAB. MOROWALI UTARA,72.12
309,KOTA PALU,72.71
310,SULAWESI SELATAN,73
311,KAB. TAKALAR,73.05
312,KAB. GOWA,73.06
313,KAB. SINJAI,73.07
314,KAB. MAROS,73.09
315,KAB. PANGKAJENE DAN KEPULAUAN,73.10
316,KAB. BARRU,73.11
317,KAB. WAJO,73.13
318,KAB. SIDENRENG RAPPANG,73.14
319,KAB. PINRANG,73.15
320,KAB. ENREKANG,73.16
321,KAB. LUWU,73.17
322,KAB. LUWU UTARA,73.22
323,KAB. TORAJA UTARA,73.26
324,KOTA MAKASSAR,73.71
325,KOTA PAREPARE,73.72
326,KOTA PALOPO,73.73
327,SULAWESI TENGGARA,74
328,KAB. KOLAKA,74.01
329,KAB. KONAWE,74.02
330,KAB. MUNA,74.03
331,KAB. BOMBANA,74.06
332,KAB. KOLAKA UTARA,74.08
333,KAB. KONAWE UTARA,74.09
334,KAB. BUTON UTARA,74.10
335,KAB. KOLAKA TIMUR,74.11
336,KAB. KONAWE KEPULAUAN,74.12
337,KAB. MUNA BARAT,74.13
338,KAB. BUTON TENGAH,74.14
339,KAB. BUTON SELATAN,74.15
340,KOTA KENDARI,74.71
341,KOTA BAU BAU,74.72
342,KAB. GORONTALO,75.01
343,KAB. BONE BOLANGO,75.03
344,KAB. GORONTALO UTARA,75.05
345,KOTA GORONTALO,75.71
346,SULAWESI BARAT,76
347,KAB. PASANGKAYU,76.01
348,KAB. MAMUJU,76.02
349,KAB. POLEWALI MANDAR,76.04
350,KAB. MAJENE,76.05
351,MALUKU,81
352,KAB. MALUKU TENGAH,81.01
353,KAB. MALUKU TENGGARA,81.02
354,KAB. KEPULAUAN TANIMBAR,81.03
355,KAB. BURU,81.04
356,KAB. MALUKU BARAT DAYA,81.08
357,KOTA AMBON,81.71
358,KOTA TUAL,81.72
359,MALUKU UTARA,82
360,KAB. HALMAHERA BARAT,82.01
361,KAB. HALMAHERA TENGAH,82.02
362,KAB. HALMAHERA UTARA,82.03
363,KAB. KEPULAUAN SULA,82.05
364,KAB. PULAU MOROTAI,82.07
365,KAB. PULAU TALIABU,82.08
366,KOTA TERNATE,82.71
367,P A P U A,91
368,KAB. JAYAPURA,91.03
369,KAB. BIAK NUMFOR,91.06
370,KAB. SARMI,91.10
371,KAB. KEEROM,91.11
372,KAB. WAROPEN,91.15
373,KAB. SUPIORI,91.19
374,KAB. MAMBERAMO RAYA,91.20
375,PAPUA BARAT,92
376,KAB. MANOKWARI,92.02
377,KAB. FAK FAK,92.03
378,KAB. TELUK BINTUNI,92.06
379,KAB. TELUK WONDAMA,92.07
380,KAB. KAIMANA,92.08
381,KAB. PEGUNUNGAN ARFAK,92.12
382,PAPUA SELATAN,93
383,KAB. MERAUKE,93.01
384,KAB. BOVEN DIGOEL,93.02
385,KAB. ASMAT,93.04
386,KAB. NABIRE,94.01
387,KAB. PUNCAK JAYA,94.02
388,KAB. PANIAI,94.03
389,KAB. PUNCAK,94.05
390,KAB. DOGIYAI,94.06
391,KAB. INTAN JAYA,94.07
392,KAB. DEIYAI,94.08
393,PAPUA PEGUNUNGAN,95
394,KAB PEGUNUNGAN BINTANG,95.02
395,KAB. YAHUKIMO,95.03
396,KAB. TOLIKARA,95.04
397,KAB. YALIMO,95.06
398,KAB. LANNY JAYA,95.07
399,KAB. NDUGA,95.08
400,KAB. ACEH TENGGARA,11.02
401,ACEH,11
402,KAB. PIDIE,11.07
403,KAB. SIMEULUE,11.09
404,KAB. ACEH SELATAN,11.01
405,KAB. ACEH TENGAH,11.04
406,KAB. ACEH BARAT,11.05
407,KAB. ACEH TIMUR,11.03
408,KAB. ACEH UTARA,11.08
409,KAB. ACEH BESAR,11.06
410,KOTA LHOKSEUMAWE,11.73
411,KAB. DELI SERDANG,12.07
